人民幣	人民幣 ￥ 💴
不懂	不懂 😕 😵 😵‍💫
困惑	困惑 😕 😖 🥴 🤔 🤨 ❓ ❔
困擾	困擾 😕
疑惑	疑惑 😕 😖 🥴 🤔 🤨 ❓ ❔
撇嘴	撇嘴 🫤 😕
不確定	不確定 🫤
擔心	擔心 😟 😓
擔憂	擔憂 😟 😔
不開心	不開心 🙁 😔 😞 😠
不高興	不高興 🙁 😒 😠 😩
不滿	不滿 🙁
微微不滿	微微不滿 🙁
心情不好	心情不好 🙁
不悅	不悅 🙁
一臉不悅	一臉不悅 🙁
喫驚	喫驚 😱
驚訝	驚訝 😺 ‼ ❕ ❗ 🙀
哦	哦 😯 😮
好奇	好奇 😯 🤔
震驚	震驚 🤯
啊	啊 🤔 😟 😥 😿 🤨 😢
害羞	害羞 😳 ☺ 😊 😚 🙈 ☺️
羞澀	羞澀 ☺️ 😚
愣住	愣住 😳
可憐	可憐 🥺
可憐兮兮	可憐兮兮 🥺
好嘛	好嘛 🥺
求你了	求你了 🥺 🙏
求求你	求求你 🥺 🙏
求求你了	求求你了 🥺 🙏
忍住淚水	忍住淚水 🥹
強忍淚水	強忍淚水 🥹
要哭了	要哭了 🥹 😩
含淚	含淚 🥹
目瞪口呆	目瞪口呆 😦
怕	怕 😟 😨 😱
可怕	可怕 😨 😱 🙀 🤯
害怕	害怕 😨 😱
恐懼	恐懼 😱
焦慮	焦慮 😐
冒汗焦慮	冒汗焦慮 😰
緊張	緊張 😰 💗 😓
失望但如釋重負	失望但如釋重負 😥
難過但釋然	難過但釋然 😥
哭	哭 😭 😢 😿
哭泣	哭泣 😢 😭 😿
流淚	流淚 😢 😭
流眼淚	流眼淚 😢 😭
大哭	大哭 😭
放聲大哭	放聲大哭 😭
痛哭	痛哭 😭
嚇死	嚇死 😦 😱 🙀
嚇死了	嚇死了 😱
嚇人	嚇人 👻 😱 🙀
尖叫	尖叫 🙀
恐怖	恐怖 😱 🙀
恐懼尖叫	恐懼尖叫 😱
驚聲尖叫	驚聲尖叫 😱
焦頭爛額	焦頭爛額 😖
糾結	糾結 😖 😂 🤦🏻‍♀ 🤦🏻‍♂ 🤦🏻
忍耐	忍耐 😣
失望	失望 🙍 😞 ☹ 😔 😥 ☹️
難過	難過 😞 😔 😩 😫 😭
倒黴	倒黴 😓
疲倦	疲倦 😩 😫 🙀
疲勞	疲勞 😪
疲憊	疲憊 😫
焦躁	焦躁 😩
抓狂	抓狂 😫 🤯
呵欠	呵欠 🥱
哈欠	哈欠 🥱
打哈欠	打哈欠 🥱
打呵欠	打呵欠 🥱
傲慢	傲慢 😤
趾高氣昂	趾高氣昂 😤
鼻子冒氣	鼻子冒氣 😤
怒	怒 😡 😠 💢
憤怒	憤怒 😡 😠 💢
生氣	生氣 😡 😠 💢 😾 😤 👿
發火	發火 😡
發飆	發飆 😡
怒火中燒	怒火中燒 😡
煩死	煩死 😡
煩死人	煩死人 😡
煩死了	煩死了 😡
煩死啦	煩死啦 😡
angry	angry 😡 😠 💢
微怒	微怒 😠
罵人	罵人 🤬
咒罵	咒罵 🤬
髒話	髒話 🤬
說髒話	說髒話 🤬
你媽死了	你媽死了 🤬
NMSL	NMSL 🤬
肏你媽	肏你媽 🤬
操你媽	操你媽 🤬
傻逼	傻逼 🤬 🐷
出口成髒	出口成髒 🤬
惡魔	惡魔 😈 👿
魔鬼	魔鬼 😈 👿 👹 👺
微笑惡魔	微笑惡魔 😈
惡魔微笑	惡魔微笑 😈
微笑的惡魔	微笑的惡魔 😈
生氣惡魔	生氣惡魔 👿
惡魔生氣	惡魔生氣 👿
生氣的惡魔	生氣的惡魔 👿
頭骨	頭骨 💀 ☠️
骷髏	骷髏 💀 ☠️
骷髏頭	骷髏頭 💀 ☠️
死亡	死亡 💀 ☠️
屎	屎 💩
拉屎	拉屎 💩
大便	大便 💩
拉大便	拉大便 💩
便便	便便 💩
拉便便	拉便便 💩
粑粑	粑粑 💩
拉粑粑	拉粑粑 💩
小丑	小丑 🤡 🃏
小丑臉	小丑臉 🤡
怪物	怪物 👹 👺 🤖 👾 🦄
妖怪	妖怪 👺 🧞‍♂ 🧞 🧞‍♀ 🧚‍♂ 🧚 🧚‍♀ 🧚🏻‍♂ 🧚🏼‍♂ 🧚🏽‍♂ 🧚🏾‍♂ 🧚🏿‍♂ 🧚🏻 🧚🏼 🧚🏽 🧚🏾 🧚🏿 🧚🏻‍♀ 🧚🏼‍♀ 🧚🏽‍♀ 🧚🏾‍♀ 🧚🏿‍♀ 👻 👹
鬼	鬼 👻 👹 👺
鬼魂	鬼魂 👻
幽靈	幽靈 👻
外星人	外星人 👽 👾
怪獸	怪獸 👾
異形怪獸	異形怪獸 👾
外星怪物	外星怪物 👾
機器人	機器人 🤖
開心貓	開心貓 😺
開心的貓	開心的貓 😺
開心貓臉	開心貓臉 😺
微笑貓	微笑貓 😸
微笑的貓	微笑的貓 😸
微笑貓臉	微笑貓臉 😸
笑中帶淚	笑中帶淚 😹
喜極而泣	喜極而泣 😹 😂
笑出眼淚的貓	笑出眼淚的貓 😹
花癡貓	花癡貓 😻
花癡的貓	花癡的貓 😻
花癡貓臉	花癡貓臉 😻
得意貓	得意貓 😼
得意的貓	得意的貓 😼
得意貓臉	得意貓臉 😼
親親貓	親親貓 😽
親親的貓	親親的貓 😽
親親貓臉	親親貓臉 😽
恐懼貓	恐懼貓 🙀
恐懼的貓	恐懼的貓 🙀
恐懼貓臉	恐懼貓臉 🙀
害怕貓	害怕貓 🙀
害怕的貓	害怕的貓 🙀
害怕貓臉	害怕貓臉 🙀
哭泣貓	哭泣貓 😿
哭泣的貓	哭泣的貓 😿
哭泣貓臉	哭泣貓臉 😿
生氣貓	生氣貓 😾
生氣的貓	生氣的貓 😾
生氣貓臉	生氣貓臉 😾
噘嘴貓	噘嘴貓 😾
噘嘴的貓	噘嘴的貓 😾
噘嘴貓臉	噘嘴貓臉 😾
非禮勿視	非禮勿視 🙈
不看	不看 🙈 😣
矇眼	矇眼 🙈
矇眼睛	矇眼睛 🙈
矇住眼睛	矇住眼睛 🙈
我不看	我不看 🙈
非禮勿聽	非禮勿聽 🙉
不聽	不聽 🙉
堵耳	堵耳 🙉
堵耳朵	堵耳朵 🙉
堵上耳朵	堵上耳朵 🙉
堵住耳朵	堵住耳朵 🙉
堵着耳朵	堵着耳朵 🙉
捂耳	捂耳 🙉
捂耳朵	捂耳朵 🙉
捂上耳朵	捂上耳朵 🙉
捂住耳朵	捂住耳朵 🙉
捂着耳朵	捂着耳朵 🙉
我不聽	我不聽 🙉
非禮勿言	非禮勿言 🙊
情書	情書 💌
一箭穿心	一箭穿心 💘
丘比特	丘比特 💘
心中箭了	心中箭了 💘
愛的禮物	愛的禮物 💝
繫有緞帶的心	繫有緞帶的心 💝
飾以絲帶的心	飾以絲帶的心 💝
送你一顆心	送你一顆心 💝
閃亮的心	閃亮的心 💖
愛心	愛心 💖 ❤️ ❤ 💗 🫶🏻
膨脹的心	膨脹的心 💗
膨脹的愛心	膨脹的愛心 💗
搏動的心	搏動的心 💗
心動	心動 💓
心跳	心跳 💓 💗
愛情	愛情 💓 💕 👩‍❤️‍👨 💑 💑🏻
love	love 💓 💕 👩‍❤️‍👨 ♥️
旋轉的心	旋轉的心 💞
舞動的心	舞動的心 💞
心連心	心連心 💞
兩顆心	兩顆心 💕
粉色的心	粉色的心 💕 🩷
心型裝飾	心型裝飾 💟
心歎號	心歎號 ❣️ ❣
傷心	傷心 💔 😣 😩 😿 ❤️‍🩹
心碎	心碎 💔
失戀	失戀 💔
火上之心	火上之心 ❤️‍🔥
心火	心火 ❤️‍🔥
燃燒的心	燃燒的心 ❤️‍🔥
心在燃燒	心在燃燒 ❤️‍🔥
心在着火	心在着火 ❤️‍🔥
愛火	愛火 ❤️‍🔥
修復受傷的心靈	修復受傷的心靈 ❤️‍🩹
治癒的心	治癒的心 ❤️‍🩹
受傷的心	受傷的心 ❤️‍🩹
受傷的心靈	受傷的心靈 ❤️‍🩹
心傷	心傷 ❤️‍🩹
粉心	粉心 🩷
粉色心	粉色心 🩷
粉紅心	粉紅心 🩷
橙心	橙心 🧡
橙色心	橙色心 🧡
橙色的心	橙色的心 🧡
橘心	橘心 🧡
橘色心	橘色心 🧡
橘色的心	橘色的心 🧡
黃心	黃心 💛
黃色心	黃色心 💛
黃色的心	黃色的心 💛
綠心	綠心 💚
綠色心	綠色心 💚
綠色的心	綠色的心 💚
藍心	藍心 💙 🩵
藍色心	藍色心 💙 🩵
藍色的心	藍色的心 💙 🩵
淡藍心	淡藍心 🩵
淡藍色心	淡藍色心 🩵
淡藍色的心	淡藍色的心 🩵
紫心	紫心 💜
紫色心	紫色心 💜
紫色的心	紫色的心 💜
棕心	棕心 🤎
棕色心	棕色心 🤎
棕色的心	棕色的心 🤎
黑心	黑心 🖤
黑色心	黑色心 🖤
黑色的心	黑色的心 🖤
灰心	灰心 🩶
灰色心	灰色心 🩶
灰色的心	灰色的心 🩶
白心	白心 🤍
白色心	白色心 🤍
白色的心	白色的心 🤍
親	親 💋 😘
吻	吻 💋 😘
親吻	親吻 💋 👨‍❤‍💋‍👨 👩‍❤‍💋‍👩 💏 😚
親嘴	親嘴 💋 💏 😙 😽
脣	脣 💋 👄
脣印	脣印 💋
紅脣	紅脣 💋 👄
吻痕	吻痕 💋
kiss	kiss 💋
麼麼	麼麼 💋
麼麼噠	麼麼噠 💋
一百	一百 💯
一百分	一百分 💯
滿分	滿分 💯
火大	火大 💢
青筋	青筋 💢
生氣符號	生氣符號 💢
爆炸	爆炸 💥 🤯
水珠	水珠 💦 💧
水滴	水滴 💦 💧
陣風	陣風 💨
坑	坑 🕳
洞	洞 🕳 🕳️
下水道	下水道 🕳
對話氣泡	對話氣泡 💬 🗨 🗯
對話框	對話框 💬 🗯 💭 🗯️
證人	證人 👁️‍🗨️
我是證人	我是證人 👁️‍🗨️
朝左的對話氣泡	朝左的對話氣泡 🗨
憤怒對話氣泡	憤怒對話氣泡 🗯
憤怒對話框	憤怒對話框 🗯
思考氣泡	思考氣泡 💭
內心活動氣泡	內心活動氣泡 💭
睡眠符號	睡眠符號 💤
ZZZ	ZZZ 💤
揮手	揮手 👋 👋🏻
擺手	擺手 👋
你好	你好 👋 🙂 👋🏻 👋🏼 👋🏽 👋🏾 👋🏿
再見	再見 👋 👋🏻
拜拜	拜拜 👋 👋🏻
手背	手背 🤚 🤚🏻 🤚🏼 🤚🏽 🤚🏾 🤚🏿
手指張開	手指張開 🖐
手指張開的手	手指張開的手 🖐
舉起的手	舉起的手 ✋
手掌	手掌 ✋ ✋🏻
擊掌	擊掌 ✋ 🖐 🖐🏻
手	手 ✋ 🈐 👈 👉 ☝ 👆 🖕 👇 ✌ 🤞 🖖 🤘 🤙 🖐 👌 👍 👎 ✊ 👊 🤛 🤜 🤚 👋 🤟 ✍ 👏 👐 🤲 👋🏻 ✋🏻
瓦肯舉手禮	瓦肯舉手禮 🖖
瓦肯	瓦肯 🖖 🖖🏻
斯波克	斯波克 🖖
星際迷航	星際迷航 🖖
右手	右手 🫱 🫸
向右的手	向右的手 🫱
向右伸的手	向右伸的手 🫱
朝右	朝右 🫱
左手	左手 🫲 🫷
向左的手	向左的手 🫲
向左伸的手	向左伸的手 🫲
朝左	朝左 🫲
手掌朝下	手掌朝下 🫳
掌心朝下	掌心朝下 🫳
朝下	朝下 🫳
放手	放手 🫳
手掌朝上	手掌朝上 🫴
掌心朝上	掌心朝上 🫴
朝上	朝上 🫴
伸手	伸手 🫴
抬起	抬起 🫴
左推	左推 🫷
向左推	向左推 🫷
推手	推手 🫷 🫸
向左推手	向左推手 🫷
向左推的手	向左推的手 🫷
右推	右推 🫸
向右推	向右推 🫸
向右推手	向右推手 🫸
向右推的手	向右推的手 🫸
OK	OK 👌 🙆‍♂️ 🙆‍♀️ 🆗 🙆‍♂ 🙆 🙆‍♀ 👍 🙆🏻‍♂ 🙆🏼‍♂ 🙆🏽‍♂ 🙆🏾‍♂ 🙆🏿‍♂ 🙆🏻 🙆🏼 🙆🏽 🙆🏾 🙆🏿 🙆🏻‍♀ 🙆🏼‍♀ 🙆🏽‍♀ 🙆🏾‍♀ 🙆🏿‍♀ 👌🏻 👌🏼 👌🏽 👌🏾 👌🏿 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿
好	好 👌 👍 🙆‍♂️ 🙆‍♀️ 🙆‍♂ 🙆 🙆‍♀ 🆗 🙆🏻‍♂ 🙆🏼‍♂ 🙆🏽‍♂ 🙆🏾‍♂ 🙆🏿‍♂ 🙆🏻 🙆🏼 🙆🏽 🙆🏾 🙆🏿 🙆🏻‍♀ 🙆🏼‍♀ 🙆🏽‍♀ 🙆🏾‍♀ 🙆🏿‍♀ 👌🏻 👌🏼 👌🏽 👌🏾 👌🏿 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿 🙂 🆗️
好的	好的 👌 🙆‍♂️ 🙆‍♀️ 😉 👌🏻
好噠	好噠 👌
沒問題	沒問題 👌 🆗 👌🏻
手指捏和	手指捏和 🤌
捏合	捏合 🤌
蘭花指	蘭花指 🤌
捏手指	捏手指 🤌 🤌🏻 🤌🏼 🤌🏽 🤌🏾 🤌🏿
手指	手指 🤌 🫵🏻
一點	一點 🤏 🕐
一點兒	一點兒 🤏
一點點	一點點 🤏 🤌🏻
少量	少量 🤏
少許	少許 🤏 🤌🏻
和平手勢	和平手勢 ✌️
耶	耶 ✌️ ✌ ✌🏻 ✌🏻️
哦耶	哦耶 ✌️ ✌ ✌🏻 ✌🏻️
成功	成功 ✌️
勝利	勝利 ✌️ ✌ 🔱
贏了	贏了 ✌️ ✌
剪刀手	剪刀手 ✌️
贏啦	贏啦 ✌️
贏咯	贏咯 ✌️
兩個	兩個 ✌️
第二	第二 ✌️ 🥈
手指交叉	手指交叉 🤞
交叉的手指	交叉的手指 🤞
食指和拇指交叉的手	食指和拇指交叉的手 🫰
響指	響指 🫰 🤞🏻
打響指	打響指 🫰 🤞🏻
比心	比心 🫰 🫶
比心手勢	比心手勢 🫰 🫶
愛你手勢	愛你手勢 🤟
愛你的手勢	愛你的手勢 🤟
愛你	愛你 🤟 😍 😘 😚 😽 🤟🏻 🥰
我愛你	我愛你 🤟 😘 🤟🏻
搖滾	搖滾 🤘 🤘🏻
搖滾手勢	搖滾手勢 🤘
金屬禮	金屬禮 🤘
打電話	打電話 🤙 ☎ 📲
回電話	回電話 🤙
打給我	打給我 🤙 🤙🏻
給我打電話	給我打電話 🤙
打電話給我	打電話給我 🤙
六六六	六六六 🤙
反手食指向左指	反手食指向左指 👈
向左指	向左指 👈
向左	向左 👈 ◀ 👈🏻
往左	往左 👈
往左指	往左指 👈
左面	左面 👈 🫲🏻
左邊	左邊 👈 👈🏻 🫲🏻
反手食指向右指	反手食指向右指 👉
向右指	向右指 👉
向右	向右 👉 ▶ 👉🏻
往右	往右 👉
往右指	往右指 👉
右面	右面 👉 🫱🏻
右邊	右邊 👉 👉🏻 🫱🏻
反手食指向上指	反手食指向上指 👆
向上指	向上指 👆
向上	向上 👆 🔼 👆🏻
往上	往上 👆
往上指	往上指 👆
上面	上面 👆 👆🏻
上邊	上邊 👆 👆🏻
反手食指向下指	反手食指向下指 👇
向下指	向下指 👇
向下	向下 👇 🔽 👇🏻
往下	往下 👇
往下指	往下指 👇
下面	下面 👇 👇🏻
下邊	下邊 👇 👇🏻
中指	中指 🖕 🖕🏻 🖕🏼 🖕🏽 🖕🏾 🖕🏿
豎中指	豎中指 🖕 🖕🏻
比中指	比中指 🖕
舉中指	舉中指 🖕
食指	食指 ☝️ ☝ ☝🏻 ☝🏻️
一個	一個 ☝️ ☝
第一	第一 ☝️ ☝ 🥇
食指指向觀察者	食指指向觀察者 🫵
指向觀察者的食指	指向觀察者的食指 🫵
你自己	你自己 🫵
就是你	就是你 🫵
